id,EdadNÚMEROCONCRETO,Género,Niveldeestudios,Creenciasreligiosas,Quéedadconsideraslamejorpa,Cuántoshijostegustaríatener,Aborto,fecundacioninvitro,adopcion,gestacionsubrogada,notendriahijos,FamiliaMONOparental,FamiliaHOMOsexual,Divorciados,Recurriraldivorcio,Matrimonio_hijos,Hijodetupareja,SituviesesunhijoQuétipode,GENERO2,NIVEL_ESTUDIOS2,CREENCIAS_RELIGIOSAS2,INVITRO2,ADOPCION2,GESTACION_SUBROGADA2,NO_TENDRÍA_HIJOS2,SI_TUVIESES_UN_HIJO_QUÉ_TIPO_DE,Edadclases,EDADV2
445,50,Hombre,Estudios de Formación Profesional,Creyente,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Única,Hombre,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,5,Tercera opción,Única,50-65,45-55
446,18,Mujer,Estudios de Formación Profesional,Ateo,28,2,si,Segunda opción,Primera opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Segunda opción,Primera opción,5,5,Compartida,16-20,15-25
447,18,Mujer,Estudios secundarios,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
448,42,Mujer,Estudios Universitarios,Creyente,30,2,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,40-50,35-45
449,62,Mujer,Estudios de Formación Profesional,Ateo,28,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Primera opción,Segunda opción,Tercera opción,5,Compartida,50-65,55-65
450,50,Mujer,Estudios Universitarios,Agnóstico,30,2,si, , , ,Primera opción,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,5,5,5,Primera opción,Compartida,50-65,45-55
451,36,Mujer,Estudios de Formación Profesional,Ateo,30,0,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,30-40,35-45
452,18,Mujer,Estudios Universitarios,Creyente,30,3,no,Tercera opción,Primera opción, ,Segunda opción,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Tercera opción,Primera opción,5,Segunda opción,Compartida,16-20,15-25
453,63,Mujer,Estudios Universitarios,Ateo,33,1,si, ,Primera opción, ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,5,Primera opción,5,Segunda opción,Compartida,50-65,55-65
454,45,Mujer,Estudios Universitarios,Creyente,35,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,40-50,45-55
455,19,Mujer,Estudios Universitarios,Ateo,34,1,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,5,Compartida,16-20,15-25
456,60,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción, , , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,5,Compartida,50-65,55-65
457,18,Mujer,Estudios Universitarios,Creyente,28,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
458,18,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Única,16-20,15-25
459,32,Mujer,Estudios de Formación Profesional,Agnóstico,30,2,si,Primera opción,Tercera opción,Segunda opción,Tercera opción,si,si,no,si,no,si,Única,Mujer,Estudios de Formación Profesional,Agnóstico,Primera opción,Tercera opción,Segunda opción,Tercera opción,Única,30-40,25-35
460,46,Mujer,Estudios Universitarios,Creyente,28,3,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Única,40-50,45-55
461,47,Mujer,Estudios Universitarios,Creyente,27,5,no, , , ,Primera opción,si,si,no,si,si,si,Única,Mujer,Estudios Universitarios,Creyente,5,5,5,Primera opción,Única,40-50,45-55
462,50,Mujer,Estudios de Formación Profesional,Ateo,32,2,si,Tercera opción,Segunda opción, ,Primera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Tercera opción,Segunda opción,5,Primera opción,Compartida,50-65,45-55
463,53,Mujer,Estudios de Formación Profesional,Agnóstico,35,0,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,50-65,45-55
464,19,Hombre,Estudios Universitarios,Agnóstico,30,1,si,Segunda opción,Primera opción, ,Tercera opción,si,si,si,si,no,no,Compartida,Hombre,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,5,Tercera opción,Compartida,16-20,15-25
465,56,Mujer,Estudios Universitarios,Creyente,26,3,no,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,5,Compartida,50-65,55-65
466,24,Mujer,Estudios Universitarios,Creyente,25,3,no,Tercera opción,Segunda opción,Cuarta opción,Primera opción,no,no,no,si,si,no,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Única,20-25,15-25
467,18,Hombre,Estudios secundarios,Agnóstico,33,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Compartida,Hombre,Estudios secundarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
468,18,Mujer,Estudios Universitarios,Agnóstico,29,2,si,Segunda opción,Primera opción,Tercera opción, ,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
469,18,Mujer,Estudios Universitarios,Ateo,30,0,si, ,Segunda opción, ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,5,Segunda opción,5,Primera opción,Compartida,16-20,15-25
470,18,Hombre,Estudios Universitarios,Creyente,26,3,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,si,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Compartida,16-20,15-25
471,36,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción, , ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,Segunda opción,Compartida,30-40,35-45
472,18,Hombre,Estudios Universitarios,Creyente,30,2,si,Cuarta opción,Segunda opción,Primera opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Cuarta opción,Segunda opción,Primera opción,Tercera opción,Compartida,16-20,15-25
473,19,Mujer,Estudios Universitarios,Ateo,30,0,si,Segunda opción,Primera opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
474,18,Mujer,Estudios de Formación Profesional,Ateo,30,1,si,Segunda opción,Tercera opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Segunda opción,Tercera opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
475,18,Hombre,Estudios Universitarios,Ateo,28,2,si, ,Primera opción, ,Segunda opción,si,si,no,no,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,5,Primera opción,5,Segunda opción,Compartida,16-20,15-25
476,18,Mujer,Estudios Universitarios,Agnóstico,30,0,si,Tercera opción,Primera opción,Segunda opción,Cuarta opción,si,si,no,si,si,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Tercera opción,Primera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
477,39,Mujer,Estudios Universitarios,Creyente,27,0,si,Primera opción,Tercera opción,Cuarta opción,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Cuarta opción,Segunda opción,Compartida,30-40,35-45
478,18,Mujer,Estudios secundarios,Creyente,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
479,50,Mujer,Estudios de Formación Profesional,Creyente,28,2,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,5,5,Compartida,50-65,45-55
480,36,Mujer,Estudios Universitarios,Agnóstico,33,1,si, , , ,Primera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,5,5,5,Primera opción,Compartida,30-40,35-45
481,43,Mujer,Estudios Universitarios,Ateo,30,1,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,40-50,35-45
482,32,Mujer,Estudios Universitarios,Creyente,34,3,si,Primera opción,Primera opción,Cuarta opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Primera opción,Cuarta opción,Cuarta opción,Compartida,30-40,25-35
483,18,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
484,53,Mujer,Estudios Universitarios,Ateo,38,2,si, , , ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,5,5,5,Primera opción,Compartida,50-65,45-55
485,47,Mujer,Estudios Universitarios,Creyente,29,2,si,Primera opción, ,Segunda opción, ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,5,Segunda opción,5,Única,40-50,45-55
486,34,Hombre,Estudios Universitarios,Creyente,36,2,si,Primera opción, ,Segunda opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,5,Segunda opción,Tercera opción,Compartida,30-40,25-35
487,21,Mujer,Estudios Universitarios,Creyente,30,2,no,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,no,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
488,18,Hombre,Estudios secundarios,Creyente,30,2,si,Segunda opción,Primera opción, ,Tercera opción,si,si,si,si,si,si,Compartida,Hombre,Estudios secundarios,Creyente,Segunda opción,Primera opción,5,Tercera opción,Compartida,16-20,15-25
489,41,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Primera opción,Primera opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Primera opción,Primera opción,Primera opción,Compartida,40-50,35-45
490,18,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
491,18,Mujer,Estudios secundarios,Ateo,29,0,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Ateo,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
492,19,Mujer,Estudios secundarios,Creyente,28,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
493,38,Mujer,Estudios Universitarios,Agnóstico,33,3,si,Tercera opción,Segunda opción, ,Primera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Tercera opción,Segunda opción,5,Primera opción,Compartida,30-40,35-45
494,52,Mujer,Estudios de Formación Profesional,Creyente,30,0,si,Cuarta opción,Cuarta opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Cuarta opción,Cuarta opción,Cuarta opción,Primera opción,Compartida,50-65,45-55
495,18,Mujer,Estudios Universitarios,Ateo,23,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,no,si,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
496,51,Hombre,Estudios Universitarios,Creyente,35,2,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,no,no,no,si,no,si,Única,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Única,50-65,45-55
497,18,Mujer,Estudios secundarios,Creyente,28,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
498,55,Mujer,Estudios de Formación Profesional,Creyente,30,2,si, , ,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,5,5,Tercera opción,5,Compartida,50-65,55-65
499,21,Mujer,Estudios de Formación Profesional,Agnóstico,27,2,si,Segunda opción,Primera opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Agnóstico,Segunda opción,Primera opción,Tercera opción,Tercera opción,Compartida,20-25,15-25
500,53,Hombre,Estudios Universitarios,Creyente,27,3,no,Primera opción,Segunda opción, , ,no,no,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,50-65,45-55
501,38,Hombre,Estudios Universitarios,Creyente,28,2,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Única,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Única,30-40,35-45
502,32,Mujer,Estudios Universitarios,Creyente,32,0,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,30-40,25-35
503,47,Mujer,Estudios de Formación Profesional,Creyente,25,3,si,Primera opción,Tercera opción, ,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Tercera opción,5,Segunda opción,Compartida,40-50,45-55
504,18,Mujer,Estudios secundarios,Agnóstico,28,2,si,Segunda opción,Primera opción,Segunda opción,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Agnóstico,Segunda opción,Primera opción,Segunda opción,Segunda opción,Compartida,16-20,15-25
505,21,Mujer,Estudios Universitarios,Agnóstico,27,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
506,17,Mujer,Estudios primarios,Ateo,30,0,si, ,Segunda opción, ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios primarios,Ateo,5,Segunda opción,5,Primera opción,Compartida,16-20,15-25
507,18,Mujer,Estudios Universitarios,Ateo,27,3,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Tercera opción,5,Única,16-20,15-25
508,45,Mujer,Estudios Universitarios,Creyente,30,2,no,Segunda opción,Primera opción,Tercera opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Segunda opción,Compartida,40-50,45-55
509,29,Mujer,Estudios Universitarios,Creyente,29,3,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Compartida,25-30,25-35
510,21,Mujer,Estudios Universitarios,Agnóstico,30,1,si,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Única,20-25,15-25
511,18,Mujer,Estudios secundarios,Creyente,27,4,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,si,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
512,46,Mujer,Estudios de Formación Profesional,Creyente,28,2,si,Primera opción, , ,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,5,5,Segunda opción,Compartida,40-50,45-55
513,57,Mujer,Estudios secundarios,Creyente,28,2,si,Segunda opción,Primera opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Segunda opción,Primera opción,5,5,Compartida,50-65,55-65
514,42,Mujer,Estudios Universitarios,Agnóstico,30,3,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Única,40-50,35-45
515,47,Mujer,Estudios Universitarios,Agnóstico,33,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,40-50,45-55
516,49,Mujer,Estudios de Formación Profesional,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,40-50,45-55
517,18,Mujer,Estudios secundarios,Creyente,24,4,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
518,19,Mujer,Estudios Universitarios,Creyente,27,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
519,49,Mujer,Estudios Universitarios,Creyente,30,2,no,Primera opción, , , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,5,Compartida,40-50,45-55
520,32,Hombre,Estudios de Formación Profesional,Agnóstico,30,1,si,Segunda opción,Primera opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Agnóstico,Segunda opción,Primera opción,5,Tercera opción,Compartida,30-40,25-35
521,20,Mujer,Estudios Universitarios,Ateo,36,2,si,Tercera opción,Segunda opción, ,Primera opción,no,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Ateo,Tercera opción,Segunda opción,5,Primera opción,Compartida,20-25,15-25
522,46,Mujer,Estudios Universitarios,Creyente,30,3,no,Tercera opción,Primera opción, ,Segunda opción,si,no,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Primera opción,5,Segunda opción,Única,40-50,45-55
523,39,Mujer,Estudios Universitarios,Creyente,28,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Única,30-40,35-45
524,45,Mujer,Estudios Universitarios,Agnóstico,32,0,si, ,Segunda opción, ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,5,Segunda opción,5,Primera opción,Compartida,40-50,45-55
525,45,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,40-50,45-55
526,52,Mujer,Estudios Universitarios,Creyente,32,3,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,no,si,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Única,50-65,45-55
527,17,Mujer,Estudios secundarios,Creyente,29,2,si,Primera opción,Segunda opción,Primera opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Primera opción,Segunda opción,Compartida,,15-25
528,39,Mujer,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,30-40,35-45
529,51,Hombre,Estudios de Formación Profesional,Ateo,30,0,si, , , ,Primera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Ateo,5,5,5,Primera opción,Compartida,50-65,45-55
530,56,Mujer,Estudios secundarios,Creyente,30,2,no,Primera opción, , , ,no,si,no,si,no,no,Única,Mujer,Estudios secundarios,Creyente,Primera opción,5,5,5,Única,50-65,55-65
531,19,Mujer,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
532,32,Mujer,Estudios secundarios,Ateo,35,1,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Ateo,Primera opción,Segunda opción,Tercera opción,5,Compartida,30-40,25-35
533,49,Mujer,Estudios Universitarios,Creyente,29,3,no,Primera opción, , , ,si,si,no,si,no,no,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,5,Única,40-50,45-55
534,31,Hombre,Estudios de Formación Profesional,Ateo,40,0,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,30-40,25-35
535,20,Mujer,Estudios de Formación Profesional,Creyente,28,2,si,Primera opción,Tercera opción,Segunda opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Tercera opción,Segunda opción,Tercera opción,Compartida,20-25,15-25
536,63,Mujer,Estudios de Formación Profesional,Creyente,33,2,no, ,Primera opción, , ,no,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,5,Primera opción,5,5,Compartida,50-65,55-65
537,25,Hombre,Estudios de Formación Profesional,Ateo,36,1,si,Primera opción,Cuarta opción,Tercera opción,Segunda opción,si,si,no,si,no,no,Compartida,Hombre,Estudios de Formación Profesional,Ateo,Primera opción,Cuarta opción,Tercera opción,Segunda opción,Compartida,25-30,25-35
538,48,Mujer,Estudios Universitarios,Creyente,32,2,no,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,40-50,45-55
539,19,Hombre,Estudios de Formación Profesional,Creyente,32,5,no, , , ,Cuarta opción,si,no,no,si,si,no,Compartida,Hombre,Estudios de Formación Profesional,Creyente,5,5,5,Cuarta opción,Compartida,16-20,15-25
540,17,Mujer,Estudios secundarios,Agnóstico,29,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,,15-25
541,18,Mujer,Estudios secundarios,Agnóstico,28,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,si,si,no,no,Compartida,Mujer,Estudios secundarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
542,42,Mujer,Estudios de Formación Profesional,Creyente,35,2,si,Primera opción,Segunda opción,Cuarta opción,Cuarta opción,si,si,no,si,no,si,Única,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,Cuarta opción,Cuarta opción,Única,40-50,35-45
543,50,Hombre,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,45-55
544,21,Hombre,Estudios Universitarios,Creyente,28,3,si,Primera opción,Tercera opción,Segunda opción,Tercera opción,si,si,no,si,no,no,Única,Hombre,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,Tercera opción,Única,20-25,15-25
545,54,Mujer,Estudios Universitarios,Agnóstico,30,2,si, ,Primera opción, ,Primera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,5,Primera opción,5,Primera opción,Compartida,50-65,45-55
546,59,Mujer,Estudios de Formación Profesional,Ateo,35,1,si, ,Primera opción, , ,si,si,no,si,no,si,Única,Mujer,Estudios de Formación Profesional,Ateo,5,Primera opción,5,5,Única,50-65,55-65
547,23,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
548,38,Mujer,Estudios de Formación Profesional,Ateo,32,0,si, , , , ,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Ateo,5,5,5,5,Compartida,30-40,35-45
549,50,Hombre,Estudios de Formación Profesional,Ateo,25,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,45-55
550,29,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Tercera opción,Tercera opción,Tercera opción,si,si,si,si,no,no,Única,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,Tercera opción,Tercera opción,Única,25-30,25-35
551,39,Mujer,Estudios de Formación Profesional,Agnóstico,27,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,30-40,35-45
552,64,Mujer,Estudios de Formación Profesional,Creyente,25,2,si,Segunda opción,Primera opción, ,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Segunda opción,Primera opción,5,Tercera opción,Compartida,50-65,55-65
553,43,Mujer,Estudios de Formación Profesional,Creyente,25,1,si, , , ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,5,5,5,Primera opción,Compartida,40-50,35-45
